name,sum,coords(lat-long)
ΑΡΓΟΣΤΟΛΙΟΥ,5,"[[38.151356497894426, 20.485500097274784], [38.1606016, 20.499025], [38.16375, 20.496954], [38.378087, 20.542675], [38.1420073, 20.543352]]"
ΚΡΩΠΙΑΣ,10,"[[37.89863007310638, 23.88442754745484], [37.88575199135434, 23.87910604476929], [37.91682996170919, 23.892538547515876], [37.91253857965204, 23.923137187957767], [37.9386324, 23.8757681], [37.883906, 23.875885], [37.8772052, 23.8673657], [37.8834725, 23.876157], [37.892738, 23.88174], [37.893689, 23.8830821]]"
ΚΟΡΙΝΘΙΩΝ,11,"[[37.80246004886268, 23.05297493934632], [37.93124277113969, 22.872955799102783], [37.93125123349797, 22.87279486656189], [37.93125969585526, 22.872762680053714], [37.93126815821159, 22.872698307037357], [37.763243, 23.116229], [37.938517, 22.94017], [37.9385008, 22.9402002], [37.862726, 22.8419783], [37.862375, 22.839326], [37.9336096, 22.9091625]]"
ΙΣΤΙΑΙΑΣ-ΑΙΔΗΨΟΥ,6,"[[38.94338074394072, 23.148354291915897], [39.008356, 23.210606], [39.008402, 23.210637], [38.94338, 23.148354], [38.9585608, 23.1517469], [38.8602841, 23.0409661]]"
ΜΕΤΣΟΒΟΥ,1,"[[39.77926330578497, 21.1767590045929]]"
ΔΩΔΩΝΗΣ,3,"[[39.54429397301993, 20.8771562576294], [39.545458, 20.851328], [39.54612, 20.8518]]"
ΙΛΙΟΥ,6,"[[38.03350682916691, 23.70287418365479], [38.0428356686108, 23.72482538223267], [38.031637, 23.71032], [38.041159403882, 23.726324462593], [38.0301134, 23.7061984], [38.0452089, 23.7241184]]"
ΜΕΤΑΜΟΡΦΩΣΕΩΣ,9,"[[38.06518117867919, 23.75529527664185], [38.058000945815216, 23.754994869232178], [38.055586, 23.753224], [38.071305126374, 23.764125947078], [38.057622, 23.747548], [38.0724584, 23.7670713], [38.053166, 23.747778], [38.05175, 23.75136], [38.0529527, 23.7526843]]"
ΕΡΜΙΟΝΙΔΑΣ,4,"[[37.349392193209006, 23.24950575828552], [37.304969095195936, 23.145092725753788], [37.3612186, 23.1623857], [37.4145848, 23.3558337]]"
ΖΙΤΣΑΣ,1,"[[39.69639796353627, 20.81618428230286]]"
ΑΡΧΑΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ,3,"[[35.008170708624554, 25.154474973678592], [35.184361417093, 25.208536896927], [35.184361, 25.208537]]"
ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ ΚΑΙ ΔΙΑΠΟΝΤΙΩΝ ΝΗΣΩΝ,11,"[[39.62443299932748, 19.898375272750854], [39.47731369263924, 19.933898448944092], [39.60776292108941, 19.91455435752869], [39.612631296466986, 19.7790277004242], [39.796867349891, 19.817766955124], [39.421995, 20.044768], [39.541474194508, 19.912629263258], [39.421973, 20.04477], [39.658369, 19.83843], [39.6306897, 19.8848962], [39.658386, 19.838464]]"
ΔΥΤΙΚΗΣ ΛΕΣΒΟΥ,8,"[[39.36936569410589, 26.194163560867317], [39.376033889733286, 26.18625640869141], [39.33647155990038, 26.18443250656128], [39.10630375478445, 26.5595018863678], [39.23082134710504, 26.2137582959758], [39.106738, 26.557275], [39.1093505, 26.5058725], [39.109351, 26.505873]]"
ΚΟΜΟΤΗΝΗΣ,5,"[[41.11080360351512, 25.413554906845093], [41.109971, 25.365012], [41.1141415, 25.3784755], [41.1081127, 25.4160952], [41.1138593, 25.410246]]"
ΟΡΕΣΤΙΑΔΑΣ,5,"[[40.46263781803914, 21.25919938087464], [40.466354, 21.301565], [41.502998, 26.535592], [40.4664, 21.301697], [41.5041654, 26.5356526]]"
ΚΩ,11,"[[36.76002311931168, 27.10788488388062], [36.759455820966, 27.112498283386238], [36.8888628341856, 27.182117700576782], [36.876811, 27.20707], [36.88096, 27.344436], [36.73624, 26.972411], [36.79791113264601, 27.096495553851128], [36.89583719085944, 27.280857229222104], [36.88536, 27.2512674], [36.88536, 27.251267], [36.895847, 27.280714]]"
ΚΑΛΑΜΑΤΑΣ,13,"[[37.00745349129033, 22.158898115158085], [37.09883179848621, 22.228560447692875], [37.0249741, 22.1166142], [37.055993, 22.067792], [37.033866083912, 22.103073991959], [37.033728, 22.099238], [37.178519, 22.012285], [37.033449, 22.103852], [37.0351353, 22.1140391], [37.1785778, 22.0122457], [37.0216709, 22.1395575], [37.0366386, 22.1143716], [37.08344930000001, 22.0486318]]"
ΠΑΠΑΓΟΥ-ΧΟΛΑΡΓΟΥ,2,"[[38.00730536573998, 23.80215883255005], [38.007912, 23.803869]]"
ΧΕΡΣΟΝΗΣΟΥ,7,"[[35.33385779907284, 25.34863471984864], [35.3257350326489, 25.364331007003788], [35.311238068257786, 25.25042295455933], [35.28878715881986, 25.445730686187748], [35.3289854, 25.2045105], [35.300052549317, 25.352174753465], [35.322209, 25.388557]]"
ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ,3,"[[38.51466971516111, 24.109411239624027], [38.513742, 24.108544], [38.408018, 24.03114]]"
ΧΑΝΙΩΝ,17,"[[35.51060534385504, 23.974174261093143], [35.51497190440016, 24.029234647750854], [35.51442173084776, 24.015287160873417], [35.51676212557858, 23.93328666687012], [35.5110899, 24.02117], [35.51363449999999, 24.0477058], [35.5315822, 24.0813748], [35.503967155083, 24.007051469681], [35.50807275534, 23.982113402378], [35.46675, 24.15504], [35.480028, 24.064982], [35.47999, 24.065], [35.517505, 24.036336], [35.4926819, 24.0038019], [35.5089279, 24.0455129], [35.5067767, 23.9839017], [35.50138, 23.99869]]"
ΑΡΙΣΤΟΤΕΛΗ,4,"[[40.3462006903525, 23.96688938140869], [40.36636202323693, 23.92977833747864], [40.488714, 23.614272], [40.4875808, 23.5927461]]"
ΜΕΓΑΡΕΩΝ,4,"[[38.01235198880189, 23.43443870544434], [37.975529870054814, 23.28437447547913], [37.995961, 23.36584], [37.995158, 23.366355]]"
ΚΑΣΤΟΡΙΑΣ,1,"[[40.538207392260006, 21.25917792320252]]"
ΤΡΙΠΟΛΗΣ,6,"[[37.49675448683776, 22.398333549499515], [37.580817, 22.432281], [37.5017814, 22.3661606], [37.5080788, 22.3867551], [37.57934, 22.432205], [37.4993905, 22.3775189]]"
ΠΑΥΛΟΥ ΜΕΛΑ,7,"[[40.67744039724759, 22.954870462417603], [40.679392, 22.9385897], [40.6691627, 22.9660185], [40.6707724, 22.9383527], [40.670825, 22.938326], [40.65791309999999, 22.9320148], [40.6940765, 22.9409509]]"
ΚΥΘΗΡΩΝ,1,"[[36.19859878085166, 22.979117631912235]]"
ΛΗΜΝΟΥ,2,"[[39.91259185300416, 25.20216464996338], [39.912496, 25.201826]]"
ΚΗΦΙΣΙΑΣ,15,"[[38.07307862102036, 23.81114959716797], [38.087064627641, 23.804120052836], [38.0748128, 23.7953577], [38.0876433, 23.809661], [38.0908383, 23.8090534], [38.0908456, 23.8090741], [38.090838, 23.809053], [38.113017, 23.8239], [38.077454, 23.812966], [38.0743021, 23.82111], [38.07391399999999, 23.8202461], [38.1082351, 23.8202349], [38.0885256, 23.8132277], [38.0742513, 23.8085967], [38.0917279, 23.7968201]]"
