,arrivals
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,3.0
1144,4.0
1145,5.0
1146,8.0
1147,8.0
1148,7.0
1149,6.0
1150,7.0
1151,3.0
1152,4.0
1153,1.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,6.0
1168,4.0
1169,4.0
1170,4.0
1171,6.0
1172,4.0
1173,2.0
1174,3.0
1175,3.0
1176,4.0
1177,2.0
1178,1.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,3.0
1191,6.0
1192,6.0
1193,4.0
1194,5.0
1195,5.0
1196,7.0
1197,3.0
1198,3.0
1199,3.0
1200,5.0
1201,6.0
1202,1.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,0.0
1208,0.0
1209,0.0
1210,0.0
1211,0.0
1212,0.0
1213,0.0
1214,2.0
1215,6.0
1216,6.0
1217,5.0
1218,5.0
1219,7.0
1220,6.0
1221,3.0
1222,5.0
1223,5.0
1224,6.0
1225,6.0
1226,1.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,2.0
1239,6.0
1240,6.0
1241,5.0
1242,5.0
1243,7.0
1244,6.0
1245,4.0
1246,3.0
1247,4.0
1248,6.0
1249,7.0
1250,3.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,1.0
1263,8.0
1264,6.0
1265,6.0
1266,5.0
1267,10.0
1268,6.0
1269,4.0
1270,4.0
1271,5.0
1272,8.0
1273,8.0
1274,2.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,2.0
1288,6.0
1289,8.0
1290,11.0
1291,10.0
1292,10.0
1293,7.0
1294,7.0
1295,5.0
1296,8.0
1297,7.0
1298,2.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1311,3.0
1312,4.0
1313,5.0
1314,8.0
1315,8.0
1316,7.0
1317,6.0
1318,6.0
1319,4.0
1320,4.0
1321,2.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.0
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,5.0
1336,4.0
1337,4.0
1338,3.0
1339,7.0
1340,5.0
1341,3.0
1342,2.0
1343,4.0
1344,5.0
1345,4.0
1346,1.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1358,3.0
1359,6.0
